Name,Value,Type,Offset,Range,Set,Binding,Descriptor Type,Buffer
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,176,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,192,,,,,
light_array.data.shadow_color,0,uint32,208,,,,,
light_array.data.flags,0,uint32,212,,,,,
light_array.data.shadow_pixel_size,0.00,float,216,,,,,
light_array.data.height,0.00,float,220,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,224,,,,,
light_array.data.shadow_zfar_inv,0.00,float,232,,,,,
light_array.data.shadow_y_ofs,0.00,float,236,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,240,,,,,
light_array.data[2],[...],struct Light,256,,,,,
light_array.data.texture_matrix,[...],mat2x4f,256,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,256,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,272,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,288,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,288,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,304,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,320,,,,,
light_array.data.shadow_color,0,uint32,336,,,,,
light_array.data.flags,0,uint32,340,,,,,
light_array.data.shadow_pixel_size,0.00,float,344,,,,,
light_array.data.height,0.00,float,348,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,352,,,,,
light_array.data.shadow_zfar_inv,0.00,float,360,,,,,
light_array.data.shadow_y_ofs,0.00,float,364,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,368,,,,,
light_array.data[3],[...],struct Light,384,,,,,
light_array.data.texture_matrix,[...],mat2x4f,384,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,384,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,400,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,416,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,416,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,432,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,448,,,,,
light_array.data.shadow_color,0,uint32,464,,,,,
light_array.data.flags,0,uint32,468,,,,,
light_array.data.shadow_pixel_size,0.00,float,472,,,,,
light_array.data.height,0.00,float,476,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,480,,,,,
light_array.data.shadow_zfar_inv,0.00,float,488,,,,,
light_array.data.shadow_y_ofs,0.00,float,492,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,496,,,,,
light_array.data[4],[...],struct Light,512,,,,,
light_array.data.texture_matrix,[...],mat2x4f,512,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,512,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,528,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,544,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,544,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,560,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,576,,,,,
light_array.data.shadow_color,0,uint32,592,,,,,
light_array.data.flags,0,uint32,596,,,,,
light_array.data.shadow_pixel_size,0.00,float,600,,,,,
light_array.data.height,0.00,float,604,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,608,,,,,
light_array.data.shadow_zfar_inv,0.00,float,616,,,,,
light_array.data.shadow_y_ofs,0.00,float,620,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,624,,,,,
light_array.data[5],[...],struct Light,640,,,,,
light_array.data.texture_matrix,[...],mat2x4f,640,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,640,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,656,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,672,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,672,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,688,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,704,,,,,
light_array.data.shadow_color,0,uint32,720,,,,,
light_array.data.flags,0,uint32,724,,,,,
light_array.data.shadow_pixel_size,0.00,float,728,,,,,
light_array.data.height,0.00,float,732,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,736,,,,,
light_array.data.shadow_zfar_inv,0.00,float,744,,,,,
light_array.data.shadow_y_ofs,0.00,float,748,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,752,,,,,
light_array.data[6],[...],struct Light,768,,,,,
light_array.data.texture_matrix,[...],mat2x4f,768,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,768,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,784,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,800,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,800,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,816,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,832,,,,,
light_array.data.shadow_color,0,uint32,848,,,,,
light_array.data.flags,0,uint32,852,,,,,
light_array.data.shadow_pixel_size,0.00,float,856,,,,,
light_array.data.height,0.00,float,860,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,864,,,,,
light_array.data.shadow_zfar_inv,0.00,float,872,,,,,
light_array.data.shadow_y_ofs,0.00,float,876,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,880,,,,,
light_array.data[7],[...],struct Light,896,,,,,
light_array.data.texture_matrix,[...],mat2x4f,896,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,896,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,912,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,928,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,928,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,944,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,960,,,,,
light_array.data.shadow_color,0,uint32,976,,,,,
light_array.data.flags,0,uint32,980,,,,,
light_array.data.shadow_pixel_size,0.00,float,984,,,,,
light_array.data.height,0.00,float,988,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,992,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1000,,,,,
light_array.data.shadow_y_ofs,0.00,float,1004,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1008,,,,,
light_array.data[8],[...],struct Light,1024,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1024,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1024,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1040,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1056,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1056,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1072,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1088,,,,,
light_array.data.shadow_color,0,uint32,1104,,,,,
light_array.data.flags,0,uint32,1108,,,,,
light_array.data.shadow_pixel_size,0.00,float,1112,,,,,
light_array.data.height,0.00,float,1116,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,1120,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1128,,,,,
light_array.data.shadow_y_ofs,0.00,float,1132,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1136,,,,,
light_array.data[9],[...],struct Light,1152,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1152,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1152,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1168,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1184,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1184,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1200,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1216,,,,,
light_array.data.shadow_color,0,uint32,1232,,,,,
light_array.data.flags,0,uint32,1236,,,,,
light_array.data.shadow_pixel_size,0.00,float,1240,,,,,
light_array.data.height,0.00,float,1244,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,1248,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1256,,,,,
light_array.data.shadow_y_ofs,0.00,float,1260,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1264,,,,,
light_array.data[10],[...],struct Light,1280,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1280,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1280,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1296,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1312,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1312,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1328,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1344,,,,,
light_array.data.shadow_color,0,uint32,1360,,,,,
light_array.data.flags,0,uint32,1364,,,,,
light_array.data.shadow_pixel_size,0.00,float,1368,,,,,
light_array.data.height,0.00,float,1372,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,1376,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1384,,,,,
light_array.data.shadow_y_ofs,0.00,float,1388,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1392,,,,,
light_array.data[11],[...],struct Light,1408,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1408,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1408,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1424,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1440,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1440,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1456,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1472,,,,,
light_array.data.shadow_color,0,uint32,1488,,,,,
light_array.data.flags,0,uint32,1492,,,,,
light_array.data.shadow_pixel_size,0.00,float,1496,,,,,
light_array.data.height,0.00,float,1500,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,1504,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1512,,,,,
light_array.data.shadow_y_ofs,0.00,float,1516,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1520,,,,,
light_array.data[12],[...],struct Light,1536,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1536,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1536,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1552,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1568,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1568,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1584,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1600,,,,,
light_array.data.shadow_color,0,uint32,1616,,,,,
light_array.data.flags,0,uint32,1620,,,,,
light_array.data.shadow_pixel_size,0.00,float,1624,,,,,
light_array.data.height,0.00,float,1628,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,1632,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1640,,,,,
light_array.data.shadow_y_ofs,0.00,float,1644,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1648,,,,,
light_array.data[13],[...],struct Light,1664,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1664,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1664,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1680,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1696,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1696,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1712,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1728,,,,,
light_array.data.shadow_color,0,uint32,1744,,,,,
light_array.data.flags,0,uint32,1748,,,,,
light_array.data.shadow_pixel_size,0.00,float,1752,,,,,
light_array.data.height,0.00,float,1756,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,1760,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1768,,,,,
light_array.data.shadow_y_ofs,0.00,float,1772,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1776,,,,,
light_array.data[14],[...],struct Light,1792,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1792,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1792,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1808,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1824,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1824,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1840,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1856,,,,,
light_array.data.shadow_color,0,uint32,1872,,,,,
light_array.data.flags,0,uint32,1876,,,,,
light_array.data.shadow_pixel_size,0.00,float,1880,,,,,
light_array.data.height,0.00,float,1884,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,1888,,,,,
light_array.data.shadow_zfar_inv,0.00,float,1896,,,,,
light_array.data.shadow_y_ofs,0.00,float,1900,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,1904,,,,,
light_array.data[15],[...],struct Light,1920,,,,,
light_array.data.texture_matrix,[...],mat2x4f,1920,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1920,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1936,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,1952,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,1952,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,1968,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,1984,,,,,
light_array.data.shadow_color,0,uint32,2000,,,,,
light_array.data.flags,0,uint32,2004,,,,,
light_array.data.shadow_pixel_size,0.00,float,2008,,,,,
light_array.data.height,0.00,float,2012,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2016,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2024,,,,,
light_array.data.shadow_y_ofs,0.00,float,2028,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2032,,,,,
light_array.data[16],[...],struct Light,2048,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2048,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2048,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2064,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2080,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2080,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2096,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,2112,,,,,
light_array.data.shadow_color,0,uint32,2128,,,,,
light_array.data.flags,0,uint32,2132,,,,,
light_array.data.shadow_pixel_size,0.00,float,2136,,,,,
light_array.data.height,0.00,float,2140,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2144,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2152,,,,,
light_array.data.shadow_y_ofs,0.00,float,2156,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2160,,,,,
light_array.data[17],[...],struct Light,2176,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2176,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2176,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2192,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2208,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2208,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2224,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,2240,,,,,
light_array.data.shadow_color,0,uint32,2256,,,,,
light_array.data.flags,0,uint32,2260,,,,,
light_array.data.shadow_pixel_size,0.00,float,2264,,,,,
light_array.data.height,0.00,float,2268,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2272,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2280,,,,,
light_array.data.shadow_y_ofs,0.00,float,2284,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2288,,,,,
light_array.data[18],[...],struct Light,2304,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2304,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2304,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2320,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2336,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2336,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2352,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,2368,,,,,
light_array.data.shadow_color,0,uint32,2384,,,,,
light_array.data.flags,0,uint32,2388,,,,,
light_array.data.shadow_pixel_size,0.00,float,2392,,,,,
light_array.data.height,0.00,float,2396,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2400,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2408,,,,,
light_array.data.shadow_y_ofs,0.00,float,2412,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2416,,,,,
light_array.data[19],[...],struct Light,2432,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2432,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2432,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2448,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2464,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2464,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2480,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,2496,,,,,
light_array.data.shadow_color,0,uint32,2512,,,,,
light_array.data.flags,0,uint32,2516,,,,,
light_array.data.shadow_pixel_size,0.00,float,2520,,,,,
light_array.data.height,0.00,float,2524,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2528,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2536,,,,,
light_array.data.shadow_y_ofs,0.00,float,2540,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2544,,,,,
light_array.data[20],[...],struct Light,2560,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2560,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2560,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2576,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2592,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2592,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2608,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,2624,,,,,
light_array.data.shadow_color,0,uint32,2640,,,,,
light_array.data.flags,0,uint32,2644,,,,,
light_array.data.shadow_pixel_size,0.00,float,2648,,,,,
light_array.data.height,0.00,float,2652,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2656,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2664,,,,,
light_array.data.shadow_y_ofs,0.00,float,2668,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2672,,,,,
light_array.data[21],[...],struct Light,2688,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2688,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2688,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2704,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2720,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2720,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2736,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,2752,,,,,
light_array.data.shadow_color,0,uint32,2768,,,,,
light_array.data.flags,0,uint32,2772,,,,,
light_array.data.shadow_pixel_size,0.00,float,2776,,,,,
light_array.data.height,0.00,float,2780,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2784,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2792,,,,,
light_array.data.shadow_y_ofs,0.00,float,2796,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2800,,,,,
light_array.data[22],[...],struct Light,2816,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2816,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2816,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2832,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2848,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2848,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2864,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,2880,,,,,
light_array.data.shadow_color,0,uint32,2896,,,,,
light_array.data.flags,0,uint32,2900,,,,,
light_array.data.shadow_pixel_size,0.00,float,2904,,,,,
light_array.data.height,0.00,float,2908,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,2912,,,,,
light_array.data.shadow_zfar_inv,0.00,float,2920,,,,,
light_array.data.shadow_y_ofs,0.00,float,2924,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,2928,,,,,
light_array.data[23],[...],struct Light,2944,,,,,
light_array.data.texture_matrix,[...],mat2x4f,2944,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2944,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2960,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,2976,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,2976,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,2992,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,3008,,,,,
light_array.data.shadow_color,0,uint32,3024,,,,,
light_array.data.flags,0,uint32,3028,,,,,
light_array.data.shadow_pixel_size,0.00,float,3032,,,,,
light_array.data.height,0.00,float,3036,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,3040,,,,,
light_array.data.shadow_zfar_inv,0.00,float,3048,,,,,
light_array.data.shadow_y_ofs,0.00,float,3052,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,3056,,,,,
light_array.data[24],[...],struct Light,3072,,,,,
light_array.data.texture_matrix,[...],mat2x4f,3072,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,3072,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,3088,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,3104,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,3104,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,3120,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,3136,,,,,
light_array.data.shadow_color,0,uint32,3152,,,,,
light_array.data.flags,0,uint32,3156,,,,,
light_array.data.shadow_pixel_size,0.00,float,3160,,,,,
light_array.data.height,0.00,float,3164,,,,,
